about : 486次
restricts : 3次
denies : 3次
accidentally : 3次
vitamin : 3次
tightly : 3次
cold, : 3次
storm : 3次
sweeping : 3次
vegetables : 3次
scarcity : 3次
infants : 3次
rapidly. : 3次
again. : 3次
learns : 3次
brain, : 3次
monkey, : 3次
recognizes : 3次
incapable : 3次
owes : 3次
psychologists : 3次
respects. : 3次
psychologists, : 3次
etc. : 3次
industrialism : 3次
belongs : 3次
resort : 3次
made, : 3次
longest : 3次
color : 3次
idea, : 3次
practice, : 3次
dates : 3次
engine : 3次
unusually : 3次
8, : 3次
surroundings : 3次
painted : 3次
conclusions : 3次
praise : 3次
flattering : 3次
five-year : 3次
sixty : 3次
explanation. : 3次
finely : 3次
scales : 3次
they, : 3次
wrong, : 3次
delight : 3次
prose : 3次
advertisement : 3次
australian : 3次
insistence : 3次
sweet : 3次
indians : 3次
block : 3次
believing : 3次
admiration : 3次
distorted : 3次
owe : 3次
relieve : 3次
decision, : 3次
a(n) : 3次
improper : 3次
item : 3次
often, : 3次
unfavorable : 3次
invalid : 3次
most. : 3次
maximize : 3次
supplies : 3次
bid : 3次
regulating : 3次
rights, : 3次
purchasing : 3次
manpower : 3次
contracts : 3次
sales. : 3次
personnel : 3次
computers. : 3次
potential, : 3次
capabilities. : 3次
disabled : 3次
heavier : 3次
potentials : 3次
we’ll : 3次
infections, : 3次
cures : 3次
cure, : 3次
works, : 3次
operation : 3次
experimented : 3次
approach. : 3次
theirs, : 3次
seemingly : 3次
begins : 3次
best-known : 3次
route. : 3次
courses, : 3次
mind” : 3次
creativity. : 3次
quotes : 3次
quotation : 3次
edison : 3次
financing : 3次
force. : 3次
being, : 3次
production. : 3次
facts, : 3次
relevance : 3次
sufficient. : 3次
whichb : 3次
portuguese : 3次
forb : 3次
approval. : 3次
schedule : 3次
sketch : 3次
provision : 3次
sophisticated : 3次
excessively : 3次
contract, : 3次
programme : 3次
assembled : 3次
non-rem : 3次
fascinating : 3次
normal. : 3次
mystery : 3次
die. : 3次
rats : 3次
bacterial : 3次
infections : 3次
doubtful : 3次
stimulate : 3次
thereby : 3次
establishing : 3次
unemployment. : 3次
doubled : 3次
buy. : 3次
consuming : 3次
persuasion : 3次
wins : 3次
measurable : 3次
roads, : 3次
willingness : 3次
shy : 3次
slowly, : 3次
self-doubt : 3次
eyes, : 3次
climbing : 3次
trustworthy : 3次
telecommunications : 3次
messages. : 3次
arises : 3次
meetings : 3次
pupils : 3次
harmful. : 3次
youngsters : 3次
medicine, : 3次
chemistry : 3次
mistake : 3次
remembering : 3次
obvious. : 3次
selection. : 3次
specifically : 3次
adjustments : 3次
attacks : 3次
press, : 3次
context. : 3次
depends, : 3次
circumstances. : 3次
librarian : 3次
borrowed : 3次
observations : 3次
grade. : 3次
descriptions : 3次
involvement : 3次
bea : 3次
dislike : 3次
harm, : 3次
cycle : 3次
split : 3次
absorption : 3次
distracting : 3次
impartial : 3次
mild : 3次
few. : 3次
celebrated : 3次
vitamins : 3次
teaches : 3次
yourself. : 3次
sell. : 3次
for, : 3次
viewers : 3次
asia : 3次
listeners : 3次
bbc’s : 3次
charter : 3次
slogan : 3次
(as : 3次
advertisers, : 3次
coverage : 3次
organization. : 3次
lines. : 3次
municipal : 3次
companies, : 3次
class, : 3次
irresponsible : 3次
india, : 3次
shareholders’ : 3次
enabled : 3次
separation : 3次
outburst : 3次
breakthroughs : 3次
welcomed : 3次
premiums : 3次
acute : 3次
“with : 3次
develops : 3次
stimulus : 3次
prizes : 3次
incentives. : 3次
fairs : 3次
idea.” : 3次
privileged : 3次
happened. : 3次
creationism : 3次
deceptive : 3次
opponents : 3次
frightening : 3次
support, : 3次
utility : 3次
straightforward. : 3次
exercises : 3次
vegetables, : 3次
drinking : 3次
ride : 3次
excuses, : 3次
seriously. : 3次
insects : 3次
ability, : 3次
technician : 3次
lay : 3次
________: : 3次
drag : 3次
evolving : 3次
rectify : 3次
disapproval : 3次
refusal : 3次
africa : 3次
exclusion : 3次
conversational : 3次
agency. : 3次
morning, : 3次
pay. : 3次
rules, : 3次
healthcare : 3次
disposable : 3次
excitement : 3次
vote : 3次
taken. : 3次
net. : 3次
import : 3次
implications. : 3次
canada, : 3次
dominoes : 3次
request : 3次
48 : 3次
lloyd : 3次
spiritual : 3次
falling, : 3次
observation : 3次
officials, : 3次
hospitality : 3次
superficial : 3次
strangers. : 3次
manifest : 3次
trails : 3次
drugs. : 3次
“drug : 3次
heroin : 3次
wine : 3次
overwhelming : 3次
corrupt : 3次
warner, : 3次
front, : 3次
debt, : 3次
violent : 3次
song : 3次
retreat : 3次
week, : 3次
stand, : 3次
son, : 3次
many, : 3次
freedoms : 3次
faulty : 3次
disadvantages, : 3次
late. : 3次
july. : 3次
flash : 3次
inflation. : 3次
punishing : 3次
sentimental : 3次
others’ : 3次
below: : 3次
pictures, : 3次
1979. : 3次
1979.” : 3次
apologize : 3次
offended : 3次
fred : 3次
delivering : 3次
sides. : 3次
laboratories : 3次
testify : 3次
restrict : 3次
converted : 3次
preceding : 3次
impressed : 3次
dams. : 3次
assert : 3次
dam. : 3次
generates : 3次
blind : 3次
pain, : 3次
real. : 3次
average. : 3次
re-engineering : 3次
leonard : 3次
remarks : 3次
isaac : 3次
stocks : 3次
republicans : 3次
enemies : 3次
anti-science. : 3次
confrontation : 3次
essay. : 3次
subjective : 3次
ii, : 3次
texas, : 3次
west. : 3次
southwestern : 3次
unparalleled : 3次
volcanic : 3次
injected : 3次
translated : 3次
african : 3次
grows, : 3次
corresponds : 3次
proves : 3次
born. : 3次
administration’s : 3次
explorer : 3次
bang : 3次
dense : 3次
structures, : 3次
part. : 3次
ever-changing : 3次
modification : 3次
notice. : 3次
leaders. : 3次
enterprise : 3次
talks : 3次
both. : 3次
data, : 3次
automakers : 3次
topic. : 3次
dependents : 3次
crowded : 3次
intensely : 3次
abundantly : 3次
intervention : 3次
domain : 3次
conjunction : 3次
plants. : 3次
irrational : 3次
injury : 3次
justifying : 3次
stove : 3次
house. : 3次
lawsuit : 3次
inches : 3次
label : 3次
courts : 3次
schutt : 3次
paralyzed : 3次
judges, : 3次
1980s : 3次
accidents : 3次
disasters : 3次
limiting : 3次
notably, : 3次
updated : 3次
educated. : 3次
vocational : 3次
join. : 3次
corporations. : 3次
qualifications : 3次
cloning. : 3次
advisory : 3次
preface : 3次
panel’s : 3次
supposedly : 3次
unpredictability : 3次
“scientific : 3次
method” : 3次
irony : 3次
philosophy, : 3次
primacy : 3次
imperatives : 3次
beings, : 3次
killing : 3次
[■] : 3次
convincingly : 3次
debates : 3次
complied : 3次
nest : 3次
birds. : 3次
regards : 3次
optional : 3次
ways: : 3次
loans : 3次
paths : 3次
scale. : 3次
maker : 3次
left, : 3次
textiles : 3次
shortly : 3次
1995 : 3次
dollar : 3次
proud : 3次
withdrawn : 3次
males : 3次
changed. : 3次
surviving : 3次
depended : 3次
strangely, : 3次
feelings, : 3次
sizes : 3次
appears, : 3次
fashions : 3次
boom : 3次
questioning : 3次
sacrifices : 3次
teachers. : 3次
households. : 3次
endured : 3次
rate, : 3次
society? : 3次
cultivation : 3次
endure : 3次
wealth, : 3次
brands : 3次
dreams, : 3次
publisher : 3次
journalist : 3次
formulation : 3次
appearing : 3次
contemptible : 3次
vigorously : 3次
hitherto : 3次
customs : 3次
vastly : 3次
concerned. : 3次
exaggerating : 3次
present, : 3次
anonymous, : 3次
statistically : 3次
ships : 3次
cautiously : 3次
posed : 3次
naive : 3次
adjoining : 3次
rooms : 3次
contest : 3次
dignity : 3次
quarters : 3次
大32家 : 3次
chancellor, : 3次
大33家 : 3次
大34家 : 3次
大37家 : 3次
大38家 : 3次
demonstration : 3次
binding : 3次
inference : 3次
splitting : 3次
geology : 3次
development, : 3次
nationally : 3次
societies, : 3次
looming : 3次
optimistic. : 3次
ahead. : 3次
potential. : 3次
impoverished : 3次
outdated : 3次
investment. : 3次
infrastructure, : 3次
telecom : 3次
accepting : 3次
low-level : 3次
newsroom : 3次
readers. : 3次
explosive : 3次
annoyed : 3次
numbers. : 3次
values, : 3次
class. : 3次
reporting : 3次
accounted : 3次
firms, : 3次
barriers : 3次
increases. : 3次
u.s., : 3次
fast. : 3次
alan : 3次
preached : 3次
kelsey : 3次
resignation : 3次
materialistic : 3次
thrift, : 3次
relaxation : 3次
millennium : 3次
accelerate : 3次
“by : 3次
ultimately : 3次
forecasts : 3次
neighborhood : 3次
surveillance : 3次
cameras : 3次
2010, : 3次
newspaper. : 3次
love. : 3次
goes, : 3次
1-5, : 3次
heard. : 3次
table. : 3次
6-10, : 3次
speaker, : 3次
only. : 3次
11-13 : 3次
11-13. : 3次
time? : 3次
14-16 : 3次
14-16. : 3次
habits. : 3次
17-20 : 3次
17-20. : 3次
procedures. : 3次
shifted : 3次
(二) : 3次
16th : 3次
大22家 : 3次
大24家 : 3次
大25家 : 3次
大26家 : 3次
大27家 : 3次
大30家 : 3次
economic, : 3次
until, : 3次
twist : 3次
quote : 3次
up” : 3次
dawn : 3次
cunning : 3次
boring, : 3次
lately : 3次
nerve : 3次
doom : 3次
price. : 3次
conservation, : 3次
(in : 3次
1998, : 3次
exports : 3次
patients’ : 3次
dosages : 3次
nancy : 3次
assessing : 3次
insisting : 3次
abuse : 3次
insufficient : 3次
defines : 3次
61) : 3次
62) : 3次
63) : 3次
maintaining : 3次
64) : 3次
65) : 3次
depressed : 3次
(50 : 3次
conveys : 3次
cultures, : 3次
art. : 3次
presentation : 3次
clubs : 3次
activities, : 3次
commitment : 3次
nutrition : 3次
surpassed : 3次
risky : 3次
admission : 3次
donovan : 3次
loved : 3次
cia : 3次
virginia : 3次
friedman, : 3次
backgrounds. : 3次
straitford’s : 3次
“making : 3次
threatening : 3次
cruelty : 3次
baby’s : 3次
treatments : 3次
combining : 3次
chemicals, : 3次
greatness : 3次
2002, : 3次
routinely : 3次
dazzlingly : 3次
sandra : 3次
start-up : 3次
sweden, : 3次
possessed : 3次
anthropology : 3次
encompasses : 3次
humanity. : 3次
analysis. : 3次
withstand : 3次
deadlines : 3次
saffo : 3次
england’s : 3次
coach : 3次
sunday : 3次
crimes : 3次
tentative : 3次
rates. : 3次
neglect. : 3次
committing : 3次
discarding : 3次
identifiable : 3次
allocation : 3次
criteria : 3次
d.c. : 3次
“none : 3次
return. : 3次
“on : 3次
negotiating : 3次
efficiency. : 3次
employed. : 3次
unfairness : 3次
bush’s : 3次
coincidence? : 3次
spare : 3次
brand : 3次
“most : 3次
2-3, : 3次
n : 3次
$50 : 3次
slowdown : 3次
holiday : 3次
gold : 3次
bay : 3次
boom. : 3次
estate : 3次
scholars. : 3次
distaste : 3次
pursuits. : 3次
historian : 3次
unnatural : 3次
innate : 3次
bizarre : 3次
strikingly : 3次
sapir : 3次
different, : 3次
whorf : 3次
november : 3次
write, : 3次
nose : 3次
impulses : 3次
inefficient : 3次
vanish : 3次
colleague : 3次
counterparts, : 3次
markedly : 3次
slice : 3次
fairness : 3次
unanswered : 3次
attentive : 3次
researchers’ : 3次
cheated : 3次
awaken : 3次
warming. : 3次
ok : 3次
environmentally : 3次
sound. : 3次
warming? : 3次
conservation. : 3次
applicable : 3次
moods : 3次
eric : 3次
depressed, : 3次
day.” : 3次
course. : 3次
uncertainties : 3次
regrettable : 3次
chunks : 3次
grieving : 3次
entertaining. : 3次
canada’s : 3次
soaring : 3次
bargaining : 3次
power, : 3次
predictably, : 3次
regrettably, : 3次
anywhere, : 3次
cracking : 3次
show, : 3次
self-interest : 3次
optimism. : 3次
networks, : 3次
identity” : 3次
fabric : 3次
scale, : 3次
2005 : 3次
sons : 3次
clothes. : 3次
guarding : 3次
sadly : 3次
elders, : 3次
punish : 3次
households, : 3次
homelessness : 3次
wage, : 3次
housing. : 3次
大8家. : 3次
street. : 3次
zlotkowski, : 3次
bentley : 3次
massachusetts, : 3次
deal.” : 3次
shelter : 3次
strolling : 3次
consumption” : 3次
arrays : 3次
catering : 3次
act.” : 3次
homogenization. : 3次
poisonous. : 3次
unprecedented : 3次
1990, : 3次
1990 : 3次
fifteen : 3次
residence.” : 3次
hispanics : 3次
intermarriage : 3次
blacks.” : 3次
divisive : 3次
seething : 3次
america? : 3次
5? : 3次
fruitless : 3次
branches. : 3次
anne : 3次
revenue. : 3次
separate. : 3次
warwick : 3次
blenheim : 3次
stratford. : 3次
(some : 3次
nights) : 3次
nightfall. : 3次
traditionally. : 3次
row. : 3次
1,431 : 3次
94 : 3次
they’ll : 3次
better.) : 3次
(though : 3次
pointed, : 3次
faces, : 3次
jeans : 3次
sandals, : 3次
buns : 3次
bedding : 3次
flagstones : 3次
standing-room : 3次
tickets : 3次
sleepers : 3次
box : 3次
10:30 : 3次
favors : 3次
sympathetic : 3次
extinct. : 3次
overfished : 3次
ransom : 3次
boris : 3次
matter) : 3次
(animals : 3次
animals) : 3次
exploitation. : 3次
long-fished : 3次
halved : 3次
sonar, : 3次
biologists, : 3次
worm’s : 3次
catch-sizes : 3次
joy. : 3次
phony : 3次
wordsworth’s : 3次
daffodils : 3次
evil. : 3次
massacre : 3次
innocents. : 3次
exhausted, : 3次
bummer : 3次
westerner : 3次
memento : 3次
mori: : 3次
die, : 3次
ends, : 3次
air. : 3次
citing : 3次
refreshing : 3次
flourishes : 3次
photo : 3次
banned : 3次
noting : 3次
well-being. : 3次
charges : 3次
luring : 3次
forever, : 3次
conducive : 3次
pleads : 3次
socratic : 3次
(苏格拉底) : 3次
manufacture : 3次
granted, : 3次
ethics. : 3次
salaries, : 3次
specify : 3次
madam, : 3次
beginning. : 3次
300 : 3次
sovereign : 3次
roman : 3次
cry : 3次
certificates : 3次
repeat : 3次
swamped : 3次
achievers. : 3次
programming : 3次
fun. : 3次
processing : 3次
overlooked. : 3次
parade : 3次
featured : 3次
recorded. : 3次
joe : 3次
luck : 3次
suits : 3次
web. : 3次
correlated : 3次
test? : 3次
answering : 3次
folding : 3次
3? : 3次
repeat. : 3次
impartial. : 3次
scholars, : 3次
stripes : 3次
effect: : 3次
bush : 3次
borne : 3次
increased. : 3次
outweigh : 3次
rolling : 3次
peering : 3次
guarded : 3次
assets, : 3次
anyone, : 3次
overshadowed : 3次
(ftc) : 3次
relations. : 3次
(41-45). : 3次
e. : 3次
help? : 3次
move. : 3次
weaknesses : 3次
athletes. : 3次
downsides : 3次
gratification : 3次
bubble : 3次
play, : 3次
justice, : 3次
freedom. : 3次
competent : 3次
interpretations : 3次
supplied : 3次
lawyers. : 3次
stories, : 3次
library, : 3次
january : 3次
2007 : 3次
introducing : 3次
upcoming : 3次
striker : 3次
hypotheses : 3次
anyway. : 3次
bird, : 3次
(an) : 3次
advises : 3次
disproportionately : 3次
supervising : 3次
paradoxical : 3次
females : 3次
combat : 3次
violence. : 3次
struggled : 3次
breaks, : 3次
diffuse : 3次
check. : 3次
submit : 3次
remove : 3次
peers : 3次
review. : 3次
rested : 3次
agencies, : 3次
victoria : 3次
handsome : 3次
journals. : 3次
75% : 3次
scholarly : 3次
report’s : 3次
three, : 3次
report? : 3次
facilitates : 3次
listed : 3次
obscuring : 3次
reality: : 3次
1960s. : 3次
wright : 3次
players, : 3次
centers : 3次
recruits : 3次
exercise. : 3次
pattern. : 3次
hired : 3次
transplant : 3次
extracted : 3次
spurred : 3次
create. : 3次
owning : 3次
presidential : 3次
bravery : 3次
grant : 3次
accounts. : 3次
clip : 3次
abrupt : 3次
failures : 3次
outlines : 3次
intently : 3次
observations. : 3次
asserted, : 3次
limited, : 3次
mathematics. : 3次
observer, : 3次
humbly : 3次
“superior : 3次
carefully.” : 3次
bob, : 3次
fruit-fly : 3次
flies : 3次
smarter : 3次
shorter : 3次
bright. : 3次
we've : 3次
patience, : 3次
大18家, : 3次
stabler : 3次
lighter : 3次
insists : 3次
upward : 3次
mindlessly, : 3次
auto-pilot : 3次
"not : 3次
unreflecting : 3次
paths, : 3次
cells, : 3次
tracks. : 3次
habits; : 3次
ruts : 3次
hippocampus, : 3次
stay. : 3次
ingrain : 3次
roads. : 3次
consultant : 3次
procedure, : 3次
"this : 3次
markova's : 3次
perpetuated, : 3次
fosters : 3次
commonness. : 3次
decisiveness : 3次
paternal : 3次
kid's : 3次
$30 : 3次
kit : 3次
(ptk) : 3次
drugstore : 3次
$120 : 3次
purchased : 3次
ptks : 3次
prescriptions : 3次
family's : 3次
dna. : 3次
"there : 3次
hawked : 3次
y : 3次
dna, : 3次
collections : 3次
parent-child : 3次
rebuild : 3次
fors : 3次
againsts : 3次
lab : 3次
fortunate : 3次
remains, : 3次
95 : 3次
mexican : 3次
humanity's : 3次
groundless : 3次
bias : 3次
downgraded : 3次
overestimated : 3次
"so : 3次
england's : 3次
preoccupations : 3次
unfolding, : 3次
lawyer, : 3次
extensively, : 3次
audiences, : 3次
servants, : 3次
quality. : 3次
emigrated : 3次
sexual : 3次
"come : 3次
folk : 3次
mocked : 3次
well-educated : 3次
blank. : 3次
groundbreaking : 3次
naturalist : 3次
german-born : 3次
uniqueness : 3次
sociologist : 3次
émile : 3次
innovations, : 3次
inventions, : 3次
linguistics, : 3次
stronger, : 3次
rituals : 3次
formally : 3次
kinship, : 3次
functioning. : 3次
grafton : 3次
elliot : 3次
w. : 3次
perry : 3次
incorrectly : 3次
suggested, : 3次
farming, : 3次
pottery : 3次
metallurgy : 3次
experience; : 3次
motive. : 3次
began, : 3次
noted, : 3次
disposition, : 3次
distinguish, : 3次
considering, : 3次
schooling. : 3次
"is : 3次
"li : 3次
anshwer : 3次
“white : 3次
face-to-face : 3次
consequences, : 3次
hugs : 3次
hugging : 3次
demanding : 3次
waits : 3次
screeners : 3次
screening : 3次
enroll : 3次
win-win : 3次
eligible : 3次
is____ : 3次
hawaiians : 3次
sadly, : 3次
tmt : 3次
flawed : 3次
ensuring : 3次
sole : 3次
gifts : 3次
court, : 3次
wealth. : 3次
corruption. : 3次
conscience : 3次
reorganize : 3次
placed. : 3次
"a : 3次
sketches : 3次
novel, : 3次
club, : 3次
dicken's : 3次
fled : 3次
nicholas : 3次
→45. : 3次
realistic : 3次
curriculum : 3次
(49)the : 3次
address.(10 : 3次
retains : 3次
up: : 3次
[c]from : 3次
[d]in : 3次
france, : 3次
impinging : 3次
punishment : 3次
idealized : 3次
enforcement. : 3次
states: : 3次
thrive. : 3次
stylish : 3次
parks : 3次
oppose : 3次
europe’s : 3次
spain : 3次
[d]is : 3次
crisis. : 3次
prosecuted : 3次
,this : 3次
halo : 3次
lenient : 3次
influence, : 3次
eliminating : 3次
researcher. : 3次
with. : 3次
luxuries : 3次
fist : 3次
navigate : 3次
image. : 3次
stylist : 3次
unconditional : 3次
patience : 3次
bad, : 3次
see, : 3次
[d]as : 3次
【考点分析】上下文语义 : 3次
_17_ : 3次
library。 : 3次
majors : 3次
depicts : 3次
actions。 : 3次
resemble : 3次
disruptive : 3次
embarrassing : 3次
republican : 3次
non-controversial : 3次
inequality : 3次
monarchies : 3次
hide : 3次
royals : 3次
nobility : 3次
carlos, : 3次
suspects : 3次
protected : 3次
constitution’s : 3次
overly : 3次
circumstances, : 3次
erased : 3次
tolerance. : 3次
constitution. : 3次
mcnutt : 3次
reviewers. : 3次
giovanni : 3次
‘the : 3次
peers. : 3次
capitalism : 3次
rebekah : 3次
respects, : 3次
ms : 3次
practices. : 3次
governmental : 3次
texts : 3次
literacy : 3次
swept : 3次
successive : 3次
sheer : 3次
resembled : 3次
high-tech : 3次
uncommon : 3次
significantly : 3次
minimal : 3次
get. : 3次
indulge : 3次
allowance : 3次
journalism. : 3次
tempting : 3次
four-year : 3次
law-school : 3次
$100,000 : 3次
non-profit : 3次
reforming : 3次
implement : 3次
guild-like : 3次
firms’ : 3次
studies. : 3次
governing : 3次
trade. : 3次
[c]a : 3次
lot, : 3次
scientists. : 3次
acknowledging : 3次
bankers’ : 3次
endurance : 3次
legitimacy : 3次
[c]they : 3次
aaas : 3次
excellence : 3次
scholarship : 3次
illiberal : 3次
matter” : 3次
articulate : 3次
musical : 3次
freethinking : 3次
understanding, : 3次
composers : 3次
beethoven : 3次
上下文语义和固定搭配 : 3次
foremost, : 3次
filial : 3次
simonsohn : 3次
defendants : 3次
applicant : 3次
admissions : 3次
points. : 3次
feverish : 3次
overdressed, : 3次
elizabeth : 3次
wardrobe : 3次
dirt-cheap : 3次
seasonal : 3次
waste. : 3次
fashion. : 3次
behavioural : 3次
february : 3次
windows : 3次
default : 3次
to: : 3次
author's : 3次
blog : 3次
today's : 3次
reshape : 3次
obama : 3次
envisioned : 3次
conflicted : 3次
stood : 3次
tackle : 3次
community’s : 3次
trick : 3次
integrate : 3次
4% : 3次
strikes : 3次
“still : 3次
intrinsic : 3次
water, : 3次
d。 : 3次
【解析】此题考查考生对文章细节信息的把握能力 : 3次
van : 3次
good-drinking, : 3次
provoked : 3次
vermont’s : 3次
mature : 3次
hoffa : 3次
servant. : 3次
teamsters : 3次
2009 : 3次
unions. : 3次
merit : 3次
membership. : 3次
literature, : 3次
shape : 3次
universality : 3次
5.【答案】[c] : 3次
6.【答案】[b] : 3次
22.【答案】[b] : 3次
life。 : 3次
volunteers : 3次
unpretentious : 3次
formidable : 3次
orchestra : 3次
[a]they : 3次
september : 3次
ceos : 3次
cling : 3次
responses. : 3次
generating : 3次
rearing : 3次
kids, : 3次
kid : 3次
pregnant : 3次
menand : 3次
undergraduates : 3次
notes, : 3次
menand, : 3次
investigate : 3次
elsewhere. : 3次
allen’s : 3次
erroneous : 3次
fat, : 3次
upside : 3次
reacted : 3次
干扰项：[b] : 3次
…. : 3次
illustrates : 3次
lake : 3次
hawthorne : 3次
monday, : 3次
coverage. : 3次
high-quality : 3次
reviews. : 3次
armed : 3次
manipulating : 3次
variables : 3次
moan : 3次
iasb : 3次
attractive. : 3次
collect : 3次
intricacies : 3次
wholesaling : 3次
categories. : 3次
germany, : 3次
wholesalers : 3次
globalization, : 3次
representatives : 3次
goalkeeper : 3次
wasn't : 3次
forget---what : 3次
forgetting---is : 3次
or等并列连词要首先区分） : 3次
2、which/that原则（用来区分主句和从句，句子中的which, : 3次
anexploration : 3次
salaries : 3次
work， : 3次
“when : 3次
instability : 3次
london's : 3次
2012 : 3次
to_____. : 3次
radesky : 3次
39 : 3次
screens : 3次
ideology : 3次
_______. : 3次
there's : 3次
pushes : 3次
blow : 3次
d．the : 3次
wildfires : 3次
gases : 3次
balch : 3次
tens : 3次
millennials : 3次
electrical : 3次
"i : 3次
“less : 3次
monitoring : 3次
is____. : 3次
[a]was : 3次
“carry : 3次
eberle : 3次
recession, : 3次
preferences : 3次
mortgage : 3次
dont : 3次
commuters : 3次
stressed : 3次
pa : 3次
remr : 3次
over, : 3次
chart. : 3次
dumn : 3次
fancy : 3次
styles : 3次
cashless : 3次
battle : 3次
hard-wired : 3次
associate : 3次
expert, : 3次
reding : 3次
reding’s : 3次
anonymity : 3次
guy : 3次
bio : 3次
patenting : 3次
govemment : 3次
biographies : 3次
disagree : 3次
2008, : 3次
currency : 3次
stephenson : 3次
toll : 3次
companies. : 3次
swine : 3次
2008. : 3次
collectors : 3次
breakfast : 3次
thinking, : 3次
dirty : 3次
consumers’ : 3次
chewing : 3次
crest : 3次
boeing : 3次
kroo : 3次
meaning. : 3次
he’d : 3次
blacken : 3次
34 : 3次
lock : 3次
"cancer : 3次
55 : 3次
modem : 3次
sports. : 3次
exchanges : 3次
honesty : 3次
46 : 3次
shooting, : 3次
camera : 3次
interconnected : 3次
doomed : 3次
baby-boomers : 3次
servers : 3次
declined : 3次
telecomm : 3次
eft : 3次
hours？ : 3次
makers : 3次
spectator : 3次
visionary : 3次
executives. : 3次
sisters : 2次
first. : 2次
whomever : 2次
advertiser : 2次
captain : 2次
apologized : 2次
wednesday : 2次
annie : 2次
had. : 2次
streets : 2次
liked : 2次
furniture : 2次
windows. : 2次
delightful : 2次
something. : 2次
where, : 2次
pound : 2次
“we’ve : 2次
persuaded : 2次
leap : 2次
teaching. : 2次
field. : 2次
trees, : 2次
administration, : 2次
“trained” : 2次
man; : 2次
professional. : 2次
administrator : 2次
“educated” : 2次
proportions. : 2次
fit, : 2次
accordingly. : 2次
employee. : 2次
mighty : 2次
wrapped : 2次
uncertain. : 2次
asia, : 2次
centered : 2次
settlement. : 2次
mile : 2次
inhabit : 2次
cold. : 2次
distance, : 2次
was. : 2次
depth : 2次
mary : 2次
imaginary : 2次
good, : 2次
payable : 2次
grateful : 2次
(words : 2次
phrases). : 2次
far. : 2次
firmly : 2次
poorest : 2次
weather, : 2次
enemy : 2次
difficulties. : 2次
collapsed : 2次
(give) : 2次
gladly : 2次
ready, : 2次
sight. : 2次
darkness : 2次
abilities. : 2次
himself, : 2次
would, : 2次
hadn’t : 2次
again.” : 2次
(76) : 2次
excels : 2次
learning. : 2次
(77) : 2次
(78) : 2次
opportunities, : 2次
band : 2次
(the) : 2次
if, : 2次
yesterday : 2次
77. : 2次
78. : 2次
sky. : 2次
miserable : 2次
unfortunate : 2次
eggs, : 2次
jim : 2次
wars : 2次
arms : 2次
accommodate : 2次
scenery : 2次
dreamed : 2次
flight. : 2次
a.d. : 2次
tested. : 2次
top. : 2次
hovered : 2次
imaginations : 2次
helicopters. : 2次
transports : 2次
helicopter : 2次
machine. : 2次
airborne : 2次
offices, : 2次
advantageous : 2次
multitude : 2次
airplanes. : 2次
transportation. : 2次
flights. : 2次
inaccessible : 2次
greece : 2次
festivals : 2次
olympian : 2次
festival : 2次
zeus, : 2次
mount : 2次
uncertain, : 2次
ring : 2次
holy : 2次
winner : 2次
victory. : 2次
richly : 2次
1,200 : 2次
1,500 : 2次
facilities, : 2次
swimming : 2次
symbolized : 2次
ideals, : 2次
greeks, : 2次
sex, : 2次
suffers : 2次
electricity, : 2次
magnetism, : 2次
predicted, : 2次
thales : 2次
physicists : 2次
“really” : 2次
bertrand : 2次
russell : 2次
electrified, : 2次
aristotle, : 2次
happen. : 2次
galileo : 2次
aristotle’s : 2次
electricity : 2次
disagreed : 2次
had, : 2次
orbit : 2次
garden. : 2次
opposes : 2次
refuses : 2次
knock : 2次
chasing : 2次
drove : 2次
schedule. : 2次
abreast : 2次
restaurant. : 2次
credits : 2次
everywhere. : 2次
seller, : 2次
forgotten : 2次
money: : 2次
accepts : 2次
mine : 2次
pearls : 2次
__41__ : 2次
manager’s : 2次
worthless : 2次
__42__ : 2次
shops. : 2次
pocket. : 2次
delay, : 2次
inconvenience : 2次
excel : 2次
glad : 2次
planned. : 2次
not) : 2次
(write) : 2次
letters. : 2次
replied : 2次
committee. : 2次
inspected : 2次
alice : 2次
fore, : 2次
inconceivable : 2次
endeavor : 2次
opportunity. : 2次
sections : 2次
sharply : 2次
“right : 2次
rebuilding : 2次
improve, : 2次
goal, : 2次
proceeded : 2次
pronunciation : 2次
correct. : 2次
punctual : 2次
wife, : 2次
forcefully : 2次
forgetting. : 2次
clerk : 2次
“yes, : 2次
“just : 2次
doing. : 2次
too.” : 2次
important. : 2次
evaluating : 2次
reader. : 2次
discovered, : 2次
opinions. : 2次
checked : 2次
evidence. : 2次
reactions. : 2次
critically : 2次
reads : 2次
noise, : 2次
i.e., : 2次
moment. : 2次
noises : 2次
hearing, : 2次
frequency : 2次
jet : 2次
decibels : 2次
loudness : 2次
radar : 2次
ridden : 2次
rear : 2次
transport, : 2次
eventually, : 2次
unavoidable : 2次
deprives : 2次
conversations : 2次
compulsory : 2次
educator : 2次
house-proud : 2次
cooking, : 2次
cleaning, : 2次
mending : 2次
wash : 2次
dry : 2次
minutes. : 2次
refrigerators : 2次
obtainable : 2次
shopping, : 2次
task, : 2次
fibers : 2次
ready-made : 2次
plentiful. : 2次
mother, : 2次
staffed : 2次
otherwise, : 2次
elsewhere : 2次
housewife : 2次
appliances : 2次
winds : 2次
storms, : 2次
__27__. : 2次
colonists : 2次
plymouth : 2次
rocky : 2次
